GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
avlTree,avl,AvlNode,158,0,26,0,40,0,33,0,20,0
avlTree,avl,AvlTree,626,0,85,0,197,0,71,0,28,0
